id;cost
1;3
2;4
3;3
4;3
5;3
6;3
7;3
8;3
9;3
10;3
11;3
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;3
20;3
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;3
29;3
30;3
31;3
32;3
33;3
34;3
35;3
36;3
37;3
38;3
39;3
40;3
41;3
42;3
43;3
44;3
45;3
46;3
47;3
48;3
49;3
50;3
51;3
52;4
53;3
54;3
55;3
56;3
57;3
58;3
59;5
60;3
61;3
62;3
63;5
64;3
65;3
66;3
67;3
68;3
69;3
70;3
71;3
72;3
73;3
74;3
75;3
76;3
77;3
78;3
79;3
80;3
81;3
82;3
83;3
84;3
85;3
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;3
96;4
97;4
98;3
99;3
100;3
101;3
102;3
103;3
104;5
105;5
106;3
107;3
108;3
109;5
110;3
111;3
112;3
113;3
114;3
115;3
116;3
117;3
118;5
119;3
120;3
121;5
122;5
123;5
124;3
125;3
126;4
127;3
128;3
129;5
130;3
131;3
132;3
133;3
134;5
135;3
136;5
137;3
138;3
139;3
140;3
141;5
142;4
143;3
144;3
145;3
146;4
147;3
148;3
149;3
150;3
151;4
152;3
153;4
154;4
155;3
156;3
157;3
158;3
159;3
160;3
161;3
162;4
163;4
164;3
165;3
166;4
167;4
168;3
169;4
170;4
171;4
172;3
173;4
174;4
175;3
176;4
177;4
178;3
179;4
180;3
181;3
182;3
183;4
184;3
185;5
186;4
187;3
188;4
189;3
190;4
191;4
192;4
193;3
194;5
195;3
196;5
197;3
198;5
199;4
200;3
201;3
202;3
203;4
204;3
205;3
206;3
207;3
208;3
209;3
210;4
211;5
212;5
213;4
214;3
215;4
216;4
217;3
218;3
219;3
220;4
221;3
222;3
223;3
224;4
225;3
226;3
227;4
228;3
229;4
230;4
231;4
232;4
233;3
234;3
235;4
236;3
237;3
238;3
239;3
240;5
